name,location,comments count,speed,service,flavour,mean
" Gaziantepli Köşkeroğlu Restaurant, Bahçelievler (Yenibosna Merkez Mah. - Basın Ekspres Yolu) ",istanbul/bahcelievler-sirinevler-mah,66,9.1,8.8,8.9,8.9
" Ali Haydar Usta, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,520,9.1,8.8,8.9,8.9
" Anadolu Şark Sofrası, Bakırköy (Ataköy 7. Kısım) ",istanbul/bahcelievler-sirinevler-mah,53,9.1,9.0,8.6,8.9
" Ataköy Kebapçısı, Bakırköy (Ataköy 8. Kısım) ",istanbul/bahcelievler-sirinevler-mah,451,9.2,8.9,8.7,8.9
" Döner Yiyelim, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,102,8.9,8.9,8.9,8.9
" Domino's Pizza, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,277,9.1,8.8,8.7,8.9
" Konya Mevlana Etli Ekmek, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,427,8.8,8.9,8.9,8.9
" Tarihi Sebat Döner, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,97,9.0,8.9,8.7,8.9
" Kekik Karadeniz Güveç & Pide, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,76,9.0,8.9,8.8,8.9
" Çevre İskender & Kebap & Lahmacun, Bakırköy (Zeytinlik Mah.) ",istanbul/bahcelievler-sirinevler-mah,325,9.1,8.9,8.6,8.9
" Mado, Bakırköy (Ataköy 9. Kısım) ",istanbul/bahcelievler-sirinevler-mah,63,9.0,9.0,8.6,8.9
" Yonca Ev Yemekleri, Bakırköy (Ataköy 8. Kısım) ",istanbul/bahcelievler-sirinevler-mah,77,8.9,8.9,8.8,8.9
" Has Çiğ Köfte Dünyası, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,6,,8.8,9.0,8.9
" Bursa Kebap Evi, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,2,,9.3,8.4,8.9
" Saray Muhallebicisi 1935, Bakırköy (Ataköy 9. Kısım) ",istanbul/bahcelievler-sirinevler-mah,317,9.1,8.9,8.6,8.9
" Etigüzel, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,66,9.0,8.8,8.7,8.8
" KFC, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,972,8.8,8.8,8.9,8.8
" Rudo, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,68,8.8,8.9,8.8,8.8
" Bereket Döner, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,131,9.2,8.7,8.6,8.8
" Neco Et & Kebap, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,184,8.9,8.8,8.7,8.8
" Little Caesars Pizza, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,313,8.9,8.8,8.8,8.8
" Mrs. Yaprak Tantuni, Bakırköy (Cevizlik Mah.) ",istanbul/bahcelievler-sirinevler-mah,153,9.0,8.8,8.6,8.8
" Burger Dünyası, Bağcılar (Bağlar Mah.) ",istanbul/bahcelievler-sirinevler-mah,403,9.0,8.8,8.7,8.8
" Döner Yerim, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,4,9.2,8.7,8.5,8.8
" Sos Döner, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,303,8.8,8.8,8.9,8.8
" Balcıoğlu Tatlı & Baklava, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,46,,8.9,8.7,8.8
" Ayvaz Burger, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,14,,8.9,8.7,8.8
" İnan Balıkçılık, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,159,8.8,8.8,8.8,8.8
" Etiler Park, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,418,9.0,8.7,8.6,8.8
" Meydan Balık Restaurant, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,117,9.0,8.6,8.8,8.8
" Fan Fang, Bakırköy (Şenlikköy Mah. - Florya) ",istanbul/bahcelievler-sirinevler-mah,228,8.8,8.9,8.6,8.8
" Pizzaline, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,86,8.7,8.9,8.7,8.8
