name,location,comments count,speed,service,flavour,mean
" Ercan Burger, Bahçelievler (Çobançeşme Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,111,9.2,9.1,9.0,9.1
" Kadayıfzade, Zeytinburnu (Maltepe Mah.- Cevizlibağ) ",istanbul/bakirkoy-atakoy-3-kisim,615,9.2,9.1,8.9,9.1
" Hoora Tantuni, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,270,9.1,9.0,9.0,9.0
" 3K1B Künefe, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,144,9.1,9.1,9.0,9.1
" Mersin Yaprak Tantuni, Bahçelievler (Yenibosna Merkez Mah. - Basın Ekspres Yolu) ",istanbul/bakirkoy-atakoy-3-kisim,1048,9.0,9.2,8.9,9.0
" Oses Çiğ Köfte, Bakırköy (Osmaniye Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,5,,9.0,9.0,9.0
" Sandwich Club, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,543,9.2,9.0,9.0,9.1
" Gurme Tatlı, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,16,9.1,9.2,8.8,9.0
" Flanör, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,119,,9.1,8.9,9.0
" Burger Go Burgere Gidelim, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,110,9.1,9.2,8.7,9.0
" Oses Çiğ Köfte, Bakırköy (Zuhuratbaba Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,18,8.9,8.9,9.2,9.0
" Bakırköy Namlı Dürüm & Lahmacun, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,487,9.2,8.9,8.8,9.0
" Aone Tantuni, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,226,9.2,8.9,8.7,8.9
" Burger Murger, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,97,9.0,9.0,8.9,9.0
" Kanatçı Ayda, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,220,9.0,8.9,9.0,9.0
" Sarıhan Gusto, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,141,9.0,9.1,8.8,9.0
" Arzum Çiğ Köfte, Küçükçekmece (Söğütlüçeşme Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,56,9.2,8.9,8.8,9.0
" Oses Çiğ Köfte, Bakırköy (Zuhuratbaba Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,31,9.3,8.9,8.7,9.0
" Oses Çiğ Köfte, Bakırköy (Şenlikköy Mah. - Florya) ",istanbul/bakirkoy-atakoy-3-kisim,89,9.1,8.9,8.8,8.9
" Burger Black, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,180,8.9,9.0,9.0,9.0
" Bahçe Büfe, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,471,9.0,8.8,9.0,8.9
" Beyoğlu Profiterol, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,9,,9.2,8.7,8.9
" Hanzade Baklava & Sütlü Tatlı, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,276,9.1,9.2,8.6,9.0
" Köroğlu Gurme, Bakırköy (Ataköy 5. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,34,9.0,8.8,9.0,8.9
" Oses Çiğ Köfte, Fatih (Silivri Kapı Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,626,9.0,8.9,8.9,8.9
" Terra Pizza - Pizza Pizza, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,311,9.1,9.0,8.7,8.9
